In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL1;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
NamedElement;0.0;0.29;0.29;0.645;1.0;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;29.0;0.29;0.29;1.0;0.0;0.1695906432748538;11.845070422535212;1.0
Property;0.0;0.13;0.13;0.565;1.0;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;13.0;0.13;0.13;1.0;0.0;0.06951871657754011;1.9425287356321839;1.0
StrongReferences;0.0;0.04;0.04;0.52;1.0;0.0;0.020833333333333332;0.04;0.2;0.0;4.0;0.04;0.04;1.0;0.0;0.02040816326530612;0.16666666666666666;1.0
EXAM-BC;0.125;1.0;1.0;1.0;0.125;0.125;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0
EXAM-WC;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
EXAM-AVG;0.5625;1.0;1.0;1.0;0.125;0.5625;1.0;1.0;1.0;0.5625;1.0;1.0;1.0;1.0;0.5625;1.0;1.0;1.0

OCL4;SrcNamedElement.allInstances()-> size() = TrgElement.allInstances()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.03;0.03;0.515;1.0;0.0;0.020618556701030927;0.03;0.1732050807568877;0.0;3.0;0.03;0.03;1.0;0.0;0.015228426395939087;0.09278350515463918;1.0
References;0.0;0.06;0.06;0.53;1.0;0.0;0.02127659574468085;0.06;0.24494897427831783;0.0;6.0;0.06;0.06;1.0;0.0;0.030927835051546393;0.3829787234042553;1.0
Attributes;0.0;0.13;0.13;0.565;1.0;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;13.0;0.13;0.13;1.0;0.0;0.06951871657754011;1.9425287356321839;1.0
Class;0.0;0.29;0.29;0.645;1.0;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;29.0;0.29;0.29;1.0;0.0;0.1695906432748538;11.845070422535212;1.0
Package;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NamedElement;0.0;0.29;0.29;0.645;1.0;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;29.0;0.29;0.29;1.0;0.0;0.1695906432748538;11.845070422535212;1.0
Property;0.0;0.13;0.13;0.565;1.0;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;13.0;0.13;0.13;1.0;0.0;0.06951871657754011;1.9425287356321839;1.0
StrongReferences;0.0;0.04;0.04;0.52;1.0;0.0;0.020833333333333332;0.04;0.2;0.0;4.0;0.04;0.04;1.0;0.0;0.02040816326530612;0.16666666666666666;1.0
EXAM-BC;0.125;1.0;1.0;1.0;0.125;0.125;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0
EXAM-WC;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
EXAM-AVG;0.5625;1.0;1.0;1.0;0.125;0.5625;1.0;1.0;1.0;0.5625;1.0;1.0;1.0;1.0;0.5625;1.0;1.0;1.0

OCL5;SrcPackage.allInstances()->size() = TrgERModel.allInstances()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.03;0.03;0.515;1.0;0.0;0.020618556701030927;0.03;0.1732050807568877;0.0;3.0;0.03;0.03;1.0;0.0;0.015228426395939087;0.09278350515463918;1.0
References;0.0;0.06;0.06;0.53;1.0;0.0;0.02127659574468085;0.06;0.24494897427831783;0.0;6.0;0.06;0.06;1.0;0.0;0.030927835051546393;0.3829787234042553;1.0
Attributes;0.0;0.13;0.13;0.565;1.0;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;13.0;0.13;0.13;1.0;0.0;0.06951871657754011;1.9425287356321839;1.0
Class;0.0;0.29;0.29;0.645;1.0;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;29.0;0.29;0.29;1.0;0.0;0.1695906432748538;11.845070422535212;1.0
Package;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NamedElement;0.0;0.29;0.29;0.645;1.0;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;29.0;0.29;0.29;1.0;0.0;0.1695906432748538;11.845070422535212;1.0
Property;0.0;0.13;0.13;0.565;1.0;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;13.0;0.13;0.13;1.0;0.0;0.06951871657754011;1.9425287356321839;1.0
StrongReferences;0.0;0.04;0.04;0.52;1.0;0.0;0.020833333333333332;0.04;0.2;0.0;4.0;0.04;0.04;1.0;0.0;0.02040816326530612;0.16666666666666666;1.0
EXAM-BC;0.125;1.0;1.0;1.0;0.125;0.125;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0
EXAM-WC;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
EXAM-AVG;0.5625;1.0;1.0;1.0;0.125;0.5625;1.0;1.0;1.0;0.5625;1.0;1.0;1.0;1.0;0.5625;1.0;1.0;1.0

OCL8;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (prop.complexType.oclIsUndefined()) implies entity.features-> select(f|f.oclIsTypeOf(TrgAttribute)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.03;0.03;0.515;1.0;0.0;0.020618556701030927;0.03;0.1732050807568877;0.0;3.0;0.03;0.03;1.0;0.0;0.015228426395939087;0.09278350515463918;1.0
References;0.0;0.06;0.06;0.53;1.0;0.0;0.02127659574468085;0.06;0.24494897427831783;0.0;6.0;0.06;0.06;1.0;0.0;0.030927835051546393;0.3829787234042553;1.0
Attributes;0.0;0.13;0.13;0.565;1.0;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;13.0;0.13;0.13;1.0;0.0;0.06951871657754011;1.9425287356321839;1.0
Class;0.0;0.29;0.29;0.645;1.0;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;29.0;0.29;0.29;1.0;0.0;0.1695906432748538;11.845070422535212;1.0
Package;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NamedElement;0.0;0.29;0.29;0.645;1.0;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;29.0;0.29;0.29;1.0;0.0;0.1695906432748538;11.845070422535212;1.0
Property;0.0;0.13;0.13;0.565;1.0;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;13.0;0.13;0.13;1.0;0.0;0.06951871657754011;1.9425287356321839;1.0
StrongReferences;0.0;0.04;0.04;0.52;1.0;0.0;0.020833333333333332;0.04;0.2;0.0;4.0;0.04;0.04;1.0;0.0;0.02040816326530612;0.16666666666666666;1.0
EXAM-BC;0.125;1.0;1.0;1.0;0.125;0.125;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0
EXAM-WC;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
EXAM-AVG;0.5625;1.0;1.0;1.0;0.125;0.5625;1.0;1.0;1.0;0.5625;1.0;1.0;1.0;1.0;0.5625;1.0;1.0;1.0

OCL9;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and not prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgWeakReference)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.03;0.03;0.515;1.0;0.0;0.020618556701030927;0.03;0.1732050807568877;0.0;3.0;0.03;0.03;1.0;0.0;0.015228426395939087;0.09278350515463918;1.0
References;0.0;0.06;0.06;0.53;1.0;0.0;0.02127659574468085;0.06;0.24494897427831783;0.0;6.0;0.06;0.06;1.0;0.0;0.030927835051546393;0.3829787234042553;1.0
Attributes;0.0;0.13;0.13;0.565;1.0;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;13.0;0.13;0.13;1.0;0.0;0.06951871657754011;1.9425287356321839;1.0
Class;0.0;0.29;0.29;0.645;1.0;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;29.0;0.29;0.29;1.0;0.0;0.1695906432748538;11.845070422535212;1.0
Package;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NamedElement;0.0;0.29;0.29;0.645;1.0;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;29.0;0.29;0.29;1.0;0.0;0.1695906432748538;11.845070422535212;1.0
Property;0.0;0.13;0.13;0.565;1.0;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;13.0;0.13;0.13;1.0;0.0;0.06951871657754011;1.9425287356321839;1.0
StrongReferences;0.0;0.04;0.04;0.52;1.0;0.0;0.020833333333333332;0.04;0.2;0.0;4.0;0.04;0.04;1.0;0.0;0.02040816326530612;0.16666666666666666;1.0
EXAM-BC;0.125;1.0;1.0;1.0;0.125;0.125;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0
EXAM-WC;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
EXAM-AVG;0.5625;1.0;1.0;1.0;0.125;0.5625;1.0;1.0;1.0;0.5625;1.0;1.0;1.0;1.0;0.5625;1.0;1.0;1.0

OCL10;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgStrongReference)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.03;0.03;0.515;1.0;0.0;0.020618556701030927;0.03;0.1732050807568877;0.0;3.0;0.03;0.03;1.0;0.0;0.015228426395939087;0.09278350515463918;1.0
References;0.0;0.06;0.06;0.53;1.0;0.0;0.02127659574468085;0.06;0.24494897427831783;0.0;6.0;0.06;0.06;1.0;0.0;0.030927835051546393;0.3829787234042553;1.0
Attributes;0.0;0.13;0.13;0.565;1.0;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;13.0;0.13;0.13;1.0;0.0;0.06951871657754011;1.9425287356321839;1.0
Class;0.0;0.29;0.29;0.645;1.0;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;29.0;0.29;0.29;1.0;0.0;0.1695906432748538;11.845070422535212;1.0
Package;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NamedElement;0.0;0.29;0.29;0.645;1.0;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;29.0;0.29;0.29;1.0;0.0;0.1695906432748538;11.845070422535212;1.0
Property;0.0;0.13;0.13;0.565;1.0;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;13.0;0.13;0.13;1.0;0.0;0.06951871657754011;1.9425287356321839;1.0
StrongReferences;0.0;0.04;0.04;0.52;1.0;0.0;0.020833333333333332;0.04;0.2;0.0;4.0;0.04;0.04;1.0;0.0;0.02040816326530612;0.16666666666666666;1.0
EXAM-BC;0.125;1.0;1.0;1.0;0.125;0.125;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0
EXAM-WC;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
EXAM-AVG;0.5625;1.0;1.0;1.0;0.125;0.5625;1.0;1.0;1.0;0.5625;1.0;1.0;1.0;1.0;0.5625;1.0;1.0;1.0

OCL11;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | prop.complexType.oclIsUndefined() implies entity.features-> select(f|f.oclIsTypeOf(TrgAttribute)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.03;0.03;0.515;1.0;0.0;0.020618556701030927;0.03;0.1732050807568877;0.0;3.0;0.03;0.03;1.0;0.0;0.015228426395939087;0.09278350515463918;1.0
References;0.0;0.06;0.06;0.53;1.0;0.0;0.02127659574468085;0.06;0.24494897427831783;0.0;6.0;0.06;0.06;1.0;0.0;0.030927835051546393;0.3829787234042553;1.0
Attributes;0.0;0.13;0.13;0.565;1.0;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;13.0;0.13;0.13;1.0;0.0;0.06951871657754011;1.9425287356321839;1.0
Class;0.0;0.29;0.29;0.645;1.0;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;29.0;0.29;0.29;1.0;0.0;0.1695906432748538;11.845070422535212;1.0
Package;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NamedElement;0.0;0.29;0.29;0.645;1.0;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;29.0;0.29;0.29;1.0;0.0;0.1695906432748538;11.845070422535212;1.0
Property;0.0;0.13;0.13;0.565;1.0;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;13.0;0.13;0.13;1.0;0.0;0.06951871657754011;1.9425287356321839;1.0
StrongReferences;0.0;0.04;0.04;0.52;1.0;0.0;0.020833333333333332;0.04;0.2;0.0;4.0;0.04;0.04;1.0;0.0;0.02040816326530612;0.16666666666666666;1.0
EXAM-BC;0.125;1.0;1.0;1.0;0.125;0.125;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0
EXAM-WC;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
EXAM-AVG;0.5625;1.0;1.0;1.0;0.125;0.5625;1.0;1.0;1.0;0.5625;1.0;1.0;1.0;1.0;0.5625;1.0;1.0;1.0

OCL12;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | prop.complexType.oclIsUndefined() implies entity.features-> exists(f | TrgAttribute.allInstances()-> exists(a | a=f and a.type = if prop.primitiveType.oclIsUndefined() then 'NoType' else prop.primitiveType endif)))))))        
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.03;0.03;0.515;1.0;0.0;0.020618556701030927;0.03;0.1732050807568877;0.0;3.0;0.03;0.03;1.0;0.0;0.015228426395939087;0.09278350515463918;1.0
References;0.0;0.06;0.06;0.53;1.0;0.0;0.02127659574468085;0.06;0.24494897427831783;0.0;6.0;0.06;0.06;1.0;0.0;0.030927835051546393;0.3829787234042553;1.0
Attributes;0.0;0.13;0.13;0.565;1.0;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;13.0;0.13;0.13;1.0;0.0;0.06951871657754011;1.9425287356321839;1.0
Class;0.0;0.29;0.29;0.645;1.0;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;29.0;0.29;0.29;1.0;0.0;0.1695906432748538;11.845070422535212;1.0
Package;0.0;0.0;0.0;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NamedElement;0.0;0.29;0.29;0.645;1.0;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;29.0;0.29;0.29;1.0;0.0;0.1695906432748538;11.845070422535212;1.0
Property;0.0;0.13;0.13;0.565;1.0;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;13.0;0.13;0.13;1.0;0.0;0.06951871657754011;1.9425287356321839;1.0
StrongReferences;0.0;0.04;0.04;0.52;1.0;0.0;0.020833333333333332;0.04;0.2;0.0;4.0;0.04;0.04;1.0;0.0;0.02040816326530612;0.16666666666666666;1.0
EXAM-BC;0.125;1.0;1.0;1.0;0.125;0.125;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0
EXAM-WC;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
EXAM-AVG;0.5625;1.0;1.0;1.0;0.125;0.5625;1.0;1.0;1.0;0.5625;1.0;1.0;1.0;1.0;0.5625;1.0;1.0;1.0


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL1;0.125;1.0;1.0;1.0;0.125;0.125;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0
OCL2;0.125;1.0;1.0;1.0;0.125;0.125;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0
OCL3;0.125;1.0;1.0;1.0;0.125;0.125;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0
OCL4;0.125;1.0;1.0;1.0;0.125;0.125;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0
OCL5;0.125;1.0;1.0;1.0;0.125;0.125;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0
OCL8;0.125;1.0;1.0;1.0;0.125;0.125;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0
OCL9;0.125;1.0;1.0;1.0;0.125;0.125;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0
OCL10;0.125;1.0;1.0;1.0;0.125;0.125;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0
OCL11;0.125;1.0;1.0;1.0;0.125;0.125;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0
OCL12;0.125;1.0;1.0;1.0;0.125;0.125;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL1;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
OCL2;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
