In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL3;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | entity.features->exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.97;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.941747572815534;0.0;0.0
References;0.2603550295857988;0.25;0.95;0.29166666666666663;0.25;0.2607407407407407;0.11764705882352941;1.6665000166650003E-5;0.2886751345948129;0.263251324826504;0.9693877551020408;0.01;0.6814345073420123;0.012121212121212121;0.2811161831014569;0.9047619047619048;0.2;0.9150943396226415
Attributes;0.34296977660972405;0.23076923076923078;0.9;0.6153846153846154;0.23076923076923073;0.3670886075949367;0.2;0.23076923076923078;0.48038446141526137;0.4549489954070537;2.8979591836734695;0.03;0.6570114759344008;0.0;0.4548697070866398;0.8181818181818182;0.9;0.9065420560747663
Class;0.14077990746860541;0.10344827586206896;0.74;0.5517241379310345;0.10344827586206895;0.18127659574468086;0.07692307692307693;0.10344827586206896;0.3216337604513384;0.2751724405218508;2.7346938775510203;0.03;0.40359475716956533;0.0;0.27513689587813417;0.5873015873015873;0.34615384615384615;0.7886178861788619
Package;0.0;0.03;0.03;0.515;0.030000000000000027;0.0;0.020618556701030927;0.03;0.1732050807568877;0.0;2.010204081632653;0.03;0.03;0.0;0.0;0.015228426395939087;0.09278350515463918;0.5
NamedElement;0.0;0.03;0.03;0.515;0.030000000000000027;0.0;0.020618556701030927;0.03;0.1732050807568877;0.0;2.010204081632653;0.03;0.03;0.0;0.0;0.015228426395939087;0.09278350515463918;0.5
Property;0.34296977660972405;0.23076923076923078;0.9;0.6153846153846154;0.23076923076923073;0.3670886075949367;0.2;0.23076923076923078;0.48038446141526137;0.4549489954070537;2.8979591836734695;0.03;0.6570114759344008;0.0;0.4548697070866398;0.8181818181818182;0.9;0.9065420560747663
StrongReferences;0.2603550295857988;0.25;0.95;0.29166666666666663;0.25;0.2607407407407407;0.11764705882352941;1.6665000166650003E-5;0.2886751345948129;0.263251324826504;0.9693877551020408;0.01;0.6814345073420123;0.012121212121212121;0.2811161831014569;0.9047619047619048;0.2;0.9150943396226415
EXAM-BC;0.75;1.0;0.125;1.0;0.125;0.75;1.0;1.0;1.0;0.75;1.0;1.0;1.0;0.375;0.75;0.125;1.0;1.0
EXAM-WC;1.0;1.0;0.125;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.125;1.0;1.0
EXAM-AVG;0.875;1.0;0.125;1.0;0.125;0.875;1.0;1.0;1.0;0.875;1.0;1.0;1.0;0.6875;0.875;0.125;1.0;1.0

OCL9;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and not prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgWeakReference)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.97;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.941747572815534;0.0;0.0
References;0.2603550295857988;0.25;0.95;0.29166666666666663;0.25;0.2607407407407407;0.11764705882352941;1.6665000166650003E-5;0.2886751345948129;0.263251324826504;0.9693877551020408;0.01;0.6814345073420123;0.012121212121212121;0.2811161831014569;0.9047619047619048;0.2;0.9150943396226415
Attributes;0.34296977660972405;0.23076923076923078;0.9;0.6153846153846154;0.23076923076923073;0.3670886075949367;0.2;0.23076923076923078;0.48038446141526137;0.4549489954070537;2.8979591836734695;0.03;0.6570114759344008;0.0;0.4548697070866398;0.8181818181818182;0.9;0.9065420560747663
Class;0.14077990746860541;0.10344827586206896;0.74;0.5517241379310345;0.10344827586206895;0.18127659574468086;0.07692307692307693;0.10344827586206896;0.3216337604513384;0.2751724405218508;2.7346938775510203;0.03;0.40359475716956533;0.0;0.27513689587813417;0.5873015873015873;0.34615384615384615;0.7886178861788619
Package;0.0;0.03;0.03;0.515;0.030000000000000027;0.0;0.020618556701030927;0.03;0.1732050807568877;0.0;2.010204081632653;0.03;0.03;0.0;0.0;0.015228426395939087;0.09278350515463918;0.5
NamedElement;0.0;0.03;0.03;0.515;0.030000000000000027;0.0;0.020618556701030927;0.03;0.1732050807568877;0.0;2.010204081632653;0.03;0.03;0.0;0.0;0.015228426395939087;0.09278350515463918;0.5
Property;0.34296977660972405;0.23076923076923078;0.9;0.6153846153846154;0.23076923076923073;0.3670886075949367;0.2;0.23076923076923078;0.48038446141526137;0.4549489954070537;2.8979591836734695;0.03;0.6570114759344008;0.0;0.4548697070866398;0.8181818181818182;0.9;0.9065420560747663
StrongReferences;0.2603550295857988;0.25;0.95;0.29166666666666663;0.25;0.2607407407407407;0.11764705882352941;1.6665000166650003E-5;0.2886751345948129;0.263251324826504;0.9693877551020408;0.01;0.6814345073420123;0.012121212121212121;0.2811161831014569;0.9047619047619048;0.2;0.9150943396226415
EXAM-BC;0.75;1.0;0.125;1.0;0.125;0.75;1.0;1.0;1.0;0.75;1.0;1.0;1.0;0.375;0.75;0.125;1.0;1.0
EXAM-WC;1.0;1.0;0.125;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.125;1.0;1.0
EXAM-AVG;0.875;1.0;0.125;1.0;0.125;0.875;1.0;1.0;1.0;0.875;1.0;1.0;1.0;0.6875;0.875;0.125;1.0;1.0


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL3;0.75;1.0;0.125;1.0;0.125;0.75;1.0;1.0;1.0;0.75;1.0;1.0;1.0;0.375;0.75;0.125;1.0;1.0
OCL4;0.75;1.0;0.125;1.0;0.125;0.75;1.0;1.0;1.0;0.75;1.0;1.0;1.0;0.375;0.75;0.125;1.0;1.0
OCL7;0.75;1.0;0.125;1.0;0.125;0.75;1.0;1.0;1.0;0.75;1.0;1.0;1.0;0.375;0.75;0.125;1.0;1.0
OCL9;0.75;1.0;0.125;1.0;0.125;0.75;1.0;1.0;1.0;0.75;1.0;1.0;1.0;0.375;0.75;0.125;1.0;1.0

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL3;1.0;1.0;0.125;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.125;1.0;1.0
OCL4;1.0;1.0;0.125;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.125;1.0;1.0
OCL7;1.0;1.0;0.125;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.125;1.0;1.0
OCL9;1.0;1.0;0.125;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.125;1.0;1.0

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL3;0.875;1.0;0.125;1.0;0.125;0.875;1.0;1.0;1.0;0.875;1.0;1.0;1.0;0.6875;0.875;0.125;1.0;1.0
OCL4;0.875;1.0;0.125;1.0;0.125;0.875;1.0;1.0;1.0;0.875;1.0;1.0;1.0;0.6875;0.875;0.125;1.0;1.0
OCL7;0.875;1.0;0.125;1.0;0.125;0.875;1.0;1.0;1.0;0.875;1.0;1.0;1.0;0.6875;0.875;0.125;1.0;1.0
OCL9;0.875;1.0;0.125;1.0;0.125;0.875;1.0;1.0;1.0;0.875;1.0;1.0;1.0;0.6875;0.875;0.125;1.0;1.0
