In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL36;SrcEReference.allInstances()->forAll(rf | TrgConstant.allInstances()->select(c | Sequence{1..c.op.size()}->exists(i | Sequence{i..c.op.size()}->exists(j | c.op.substring(i,j)=rf.name)))->size()>9)
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
MetamodelEqPackages;0.0;0.14;0.14;0.5700000000000001;0.14;0.0;0.023255813953488372;0.14;0.3741657386773941;0.0;13.011494252873563;0.14;0.14;0.0;0.0;0.07526881720430108;2.2790697674418605;0.5
EnumLitConstant;0.05660377358490566;0.14285714285714285;0.8;0.17142857142857143;0.19999999999999996;0.057034220532319393;0.017241379310344827;4.166475703196937E-6;0.1690308509457033;0.057639041770423505;1.9080459770114944;0.02;0.42012170712175595;0.047619047619047616;0.14984711352970792;0.6666666666666666;0.2;0.6056338028169014
ClassEqSuperTypes;0.4197292069632495;0.3684210526315789;0.76;0.6842105263157895;0.368421052631579;0.48764044943820223;0.08333333333333333;0.3684210526315789;0.6069769786668839;0.5153696490413446;13.724137931034482;0.14;0.6442433218880196;0.0;0.5153390511028765;0.6129032258064516;8.166666666666666;0.7818181818181817
AttEqSpecificDefaultValue;0.3730407523510972;0.4375;0.84;0.46875;0.4375;0.37362637362637363;0.058823529411764705;7.775790631283116E-5;0.46770717334674267;0.3741916351883901;6.896551724137931;0.07;0.6538023480195218;0.06153846153846154;0.4236836921789588;0.7241379310344828;3.0625;0.826923076923077
EqLowerBound;0.680306905370844;0.5833333333333334;0.9;0.7916666666666667;0.5833333333333333;0.702774108322325;0.2;0.5833333333333334;0.7637626158259734;0.7179859859140653;13.885057471264368;0.14;0.8233808840040946;0.0;0.7179375395708159;0.8181818181818182;19.6;0.8958333333333334
AttEqIsId;0.4065281899109792;0.4444444444444444;0.84;0.5079365079365079;0.4444444444444444;0.408955223880597;0.06451612903225806;1.0663254425250586E-4;0.5039526306789696;0.41107790664566357;7.885057471264368;0.08;0.6711719940620471;0.06279069767441861;0.4560522261699233;0.7241379310344828;4.0;0.8309178743961353
EqIsOrdered;0.680306905370844;0.5833333333333334;0.9;0.7916666666666667;0.5833333333333333;0.702774108322325;0.2;0.5833333333333334;0.7637626158259734;0.7179859859140653;13.885057471264368;0.14;0.8233808840040946;0.0;0.7179375395708159;0.8181818181818182;19.6;0.8958333333333334
Initialize;0.0;0.14;0.14;0.5700000000000001;0.14;0.0;0.023255813953488372;0.14;0.3741657386773941;0.0;13.011494252873563;0.14;0.14;0.0;0.0;0.07526881720430108;2.2790697674418605;0.5
EnumLitList;0.08906882591093117;0.14285714285714285;0.82;0.19642857142857142;0.25;0.09072164948453608;0.022222222222222223;5.555246930726071E-6;0.1889822365046136;0.09348254376477573;1.9310344827586208;0.02;0.44868329805051377;0.039603960396039604;0.16995020755218845;0.6949152542372882;0.2222222222222222;0.671875
RefEqOpposite;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;14.0;0.14;1.0;0.0;0.9999169504194004;1.0;1.0;1.0
EnumLiteral2Operation;0.05660377358490566;0.14285714285714285;0.8;0.17142857142857143;0.19999999999999996;0.057034220532319393;0.017241379310344827;4.166475703196937E-6;0.1690308509457033;0.057639041770423505;1.9080459770114944;0.02;0.42012170712175595;0.047619047619047616;0.14984711352970792;0.6666666666666666;0.2;0.6056338028169014
Package2Operation;0.0;0.14;0.14;0.5700000000000001;0.14;0.0;0.023255813953488372;0.14;0.3741657386773941;0.0;13.011494252873563;0.14;0.14;0.0;0.0;0.07526881720430108;2.2790697674418605;0.5
ClassEqReferences;0.4197292069632495;0.3684210526315789;0.76;0.6842105263157895;0.368421052631579;0.48764044943820223;0.08333333333333333;0.3684210526315789;0.6069769786668839;0.5153696490413446;13.724137931034482;0.14;0.6442433218880196;0.0;0.5153390511028765;0.6129032258064516;8.166666666666666;0.7818181818181817
