In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL30;SrcEStructuralFeature.allInstances()->forAll(sf | TrgRecTerm.allInstances()->one(rt | rt.op='upperBound' and rt.type.name='Int' and TrgConstant.allInstances()->one(c1 | rt.args->includes(c1) and Sequence{1..c1.op.size()}->exists(i | Sequence{i..c1.op.size()}->exists(j | c1.op.substring(i,j)=sf.name and TrgConstant.allInstances()->one(c2 | c2.op = if sf.upperBound = -1 then '*'	else sf.upperBound.toString() endif and TrgEquation.allInstances()->one(eq | eq.lhs=rt and eq.rhs=c2)))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
MetamodelEqPackages;0.0;0.24;0.24;0.62;0.24;0.0;0.02631578947368421;0.24;0.48989794855663565;0.0;23.01298701298701;0.24;0.24;0.0;0.0;0.13636363636363635;7.578947368421052;0.5
EnumLitConstant;0.0410958904109589;0.125;0.72;0.2125;0.30000000000000004;0.04405286343612335;0.015873015873015872;6.122061665486469E-6;0.19364916731037085;0.0468292905790847;2.909090909090909;0.03;0.38308998402953376;0.06097560975609756;0.16154844383281083;0.5625;0.32142857142857145;0.5757575757575757
ClassEqSuperTypes;0.680073126142596;0.631578947368421;0.86;0.8157894736842105;0.631578947368421;0.7119617224880382;0.14285714285714285;0.631578947368421;0.7947194142390263;0.717799036683466;23.818181818181817;0.24;0.8171717587362392;0.0;0.7177644123149362;0.7543859649122807;41.142857142857146;0.8444444444444446
AttEqSpecificDefaultValue;0.7524752475247525;0.6666666666666666;0.92;0.8333333333333333;1.0;0.7676767676767676;0.25;0.6666666666666666;0.8164965809277261;0.7766431633476234;16.0;0.16;0.8641101056459326;0.09523809523809523;0.7765935633409072;0.8518518518518519;32.0;1.0
EqLowerBound;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;24.0;0.24;1.0;0.0;0.9999451784441643;1.0;1.0;1.0
AttEqIsId;0.8201438848920863;0.75;0.94;0.875;1.0;0.8290909090909091;0.3333333333333333;0.75;0.8660254037844386;0.8337397382993761;18.0;0.18;0.9016175453195919;0.10588235294117647;0.8336889283879012;0.8867924528301887;54.0;1.0
EqIsOrdered;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;24.0;0.24;1.0;0.0;0.9999451784441643;1.0;1.0;1.0
Initialize;0.0;0.24;0.24;0.62;0.24;0.0;0.02631578947368421;0.24;0.48989794855663565;0.0;23.01298701298701;0.24;0.24;0.0;0.0;0.13636363636363635;7.578947368421052;0.5
EnumLitList;0.005681818181818182;0.08333333333333333;0.72;0.16666666666666666;0.25;0.00625;0.0125;3.0301652955168703E-6;0.14433756729740646;0.006904602208326343;1.922077922077922;0.02;0.33065851033365595;0.04966139954853273;0.12082011096064915;0.5625;0.14285714285714285;0.5135135135135135
RefEqOpposite;0.680306905370844;0.5833333333333334;0.9;0.7916666666666667;1.0;0.702774108322325;0.2;0.5833333333333334;0.7637626158259734;0.7179859859140653;14.0;0.14;0.8233808840040946;0.08433734939759036;0.7179375395708159;0.8181818181818182;19.6;1.0
EnumLiteral2Operation;0.0410958904109589;0.125;0.72;0.2125;0.30000000000000004;0.04405286343612335;0.015873015873015872;6.122061665486469E-6;0.19364916731037085;0.0468292905790847;2.909090909090909;0.03;0.38308998402953376;0.06097560975609756;0.16154844383281083;0.5625;0.32142857142857145;0.5757575757575757
Package2Operation;0.0;0.24;0.24;0.62;0.24;0.0;0.02631578947368421;0.24;0.48989794855663565;0.0;23.01298701298701;0.24;0.24;0.0;0.0;0.13636363636363635;7.578947368421052;0.5
