In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL15;SrcRedirect.allInstances()->size() + SrcRedirection.allInstances()->size() = TrgRedirectionErrorResponse.allInstances() -> select(rer | rer.errorKind=RedirectionErrorKind::MOVED_PERMANENTLY or rer.errorKind=RedirectionErrorKind::MOVED_TEMPORARILY or rer.errorKind=RedirectionErrorKind::MULTIPLE_CHOICES)->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
AddressSwitch2SelectStat;-0.022644265887509132;0.09523809523809523;0.72;0.13852813852813853;0.09523809523809523;-0.02350265352539803;0.010050251256281407;2.339099212893115E-6;0.1315903389919538;-0.024324681077860674;1.788888888888889;0.02;0.33065851033365595;0.07246932515337423;0.10984477925735948;0.5625;0.14285714285714285;0.4599483204134367
Proxy2Return;0.2709599027946537;0.2727272727272727;0.88;0.35064935064935066;0.4285714285714286;0.27361963190184047;0.06;2.812104547797966E-5;0.3418817293789138;0.27933349988832507;2.9555555555555557;0.03;0.6125122309314752;0.03248259860788863;0.31937722509289646;0.7857142857142857;0.75;0.8585209003215434
Default2SelectDefault;0.2849846782431052;0.36363636363636365;0.86;0.36363636363636365;0.36363636363636365;0.2849846782431052;0.05194805194805195;3.26482639285656E-5;0.36363636363636365;0.2849846782431052;3.922222222222222;0.04;0.6123040330380837;0.044;0.3350015320192013;0.7543859649122807;1.1428571428571428;0.8221709006928407
SwitchedAddress2SelectCase;-0.010638297872340425;0.09090909090909091;0.81;0.09545454545454546;0.09999999999999998;-0.010643959552953698;0.010050251256281407;1.111086420301771E-6;0.09534625892455924;-0.010653379535009885;0.9;0.01;0.34356614465620006;0.04291845493562232;0.08521795768761463;0.680672268907563;0.05263157894736842;0.4734042553191489
NotPresent2ErrorResponse;-0.0035122930255895636;0.10810810810810811;0.6;0.23587223587223588;0.10810810810810811;-0.004229607250755287;0.012861736334405145;6.925879240369565E-6;0.19827263883864385;-0.004633781564153746;3.6333333333333333;0.04;0.32165022306298513;0.09736842105263158;0.1482711949624954;0.42857142857142855;0.4;0.4951321279554937
Location2URIConstant;0.0;0.0;0.89;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8018018018018018;0.0;0.0
Otherwise2SelectDefault;0.09039226833428084;0.16129032258064516;0.68;0.30791788856304986;0.16129032258064513;0.10198845413726748;0.0211864406779661;1.602374077433125E-5;0.27076518053694115;0.10987537900244249;4.711111111111111;0.05;0.41550631800527815;0.07673267326732673;0.21766259628769313;0.5151515151515151;0.78125;0.6087551299589603
Incoming2Method;-0.06473594548551959;0.0625;0.75;0.07670454545454546;0.0625;-0.0654326302195437;0.006153846153846154;6.66655111311404E-7;0.07537783614444091;-0.06625560317137491;0.8333333333333334;0.01;0.27750520211971036;0.06153846153846154;0.06450641109952844;0.6;0.04;0.35039370078740156
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
EXAM-WC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
EXAM-AVG;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842

OCL29;SrcNoAnswer.allInstances()->size()=TrgSelectCase.allInstances()->select(sc|sc.commentsBefore=Sequence {'// noanswer'})->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.656188605108055;0.6666666666666666;0.93;0.696969696969697;0.6666666666666667;0.6565110565110565;0.2;5.328005328005328E-4;0.6963106238227914;0.6569815258374716;7.955555555555556;0.08;0.8295875442952216;0.041189931350114416;0.6687178204252678;0.8691588785046729;9.142857142857142;0.9417989417989417
SubCall2Return;-0.0971149939049167;0.061224489795918366;0.46;0.16697588126159554;0.061224489795918324;-0.1374353076480736;0.0066815144766146995;2.4455385361169356E-6;0.1292191476761844;-0.15280002559377237;2.488888888888889;0.03;0.21003913504693256;0.14572490706319702;0.08246838152517098;0.2987012987012987;0.16666666666666666;0.3454075032341526
Busy2SelectCase;0.5269631031220435;0.5384615384615384;0.9;0.5874125874125874;0.5384615384615384;0.5279620853080569;0.11864406779661017;2.040654841974188E-4;0.5853694070049635;0.5293373596946629;6.933333333333334;0.07;0.7567143292332911;0.043697478991596636;0.5520929652411966;0.8181818181818182;4.9;0.9042089985486211
SubAction2Function;-0.04068117313150426;0.07692307692307693;0.78;0.08391608391608392;0.07692307692307687;-0.04075829383886256;0.007633587786259542;8.333173614172395E-7;0.08362420100070908;-0.04086446403387882;0.8666666666666667;0.01;0.3076310100058112;0.05254648342764753;0.0731689472006405;0.639344262295082;0.045454545454545456;0.40271493212669685
Redirect2Return;0.02843601895734597;0.125;0.59;0.2897727272727273;0.125;0.03551346552234389;0.016;1.1903458192674136E-5;0.2383656473113981;0.0391430158454744;4.611111111111111;0.05;0.34328209411232624;0.09345794392523364;0.17613208073658954;0.41843971631205673;0.6097560975609756;0.536144578313253
StringSwitch2SelectStat;0.12901469787697334;0.18181818181818182;0.68;0.36363636363636365;0.18181818181818177;0.14858934169278998;0.025974025974025976;2.6662163723460038E-5;0.3149183286488868;0.1610877920210991;5.7;0.06;0.44141198573092266;0.07099827882960413;0.25282947619257845;0.5151515151515151;1.125;0.6425992779783393
NoAnswer2SelectCase;0.4450610432852386;0.45454545454545453;0.9;0.5050505050505051;0.5555555555555556;0.4460511679644049;0.10204081632653061;1.0413412475268145E-4;0.502518907629606;0.447827826678418;4.955555555555556;0.05;0.719223593595585;0.03884892086330935;0.4745774898696752;0.8181818181818182;2.5;0.9100204498977505
CPL2Program;-0.037069726390114736;0.09090909090909091;0.53;0.2272727272727273;0.09090909090909094;-0.04879465582340982;0.0106951871657754;5.713869418085254E-6;0.18181818181818182;-0.05408384860487066;3.5555555555555554;0.04;0.27692307692307694;0.11518324607329843;0.12618752209369732;0.36054421768707484;0.3404255319148936;0.4472361809045226
Outgoing2Method;0.09574468085106383;0.18181818181818182;0.83;0.19090909090909092;0.19999999999999996;0.09579563597658329;0.02247191011235955;5.5552623611531615E-6;0.19069251784911848;0.09588041581508897;1.9111111111111112;0.02;0.46419434695016853;0.0423728813559322;0.17256636431741962;0.7094017094017094;0.23529411764705882;0.6691729323308271
Proxy2Select;0.609375;0.5;0.89;0.75;0.5;0.636734693877551;0.18181818181818182;0.5;0.7071067811865476;0.6619684638946263;10.877777777777778;0.11;0.7855400873013642;0.0;0.6619173953117127;0.8018018018018018;11.0;0.8899999999999999
Failure2ErrorResponse;0.0;0.0;0.89;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8018018018018018;0.0;0.0
AddressSwitch2SelectStat;-0.022644265887509132;0.09523809523809523;0.72;0.13852813852813853;0.09523809523809523;-0.02350265352539803;0.010050251256281407;2.339099212893115E-6;0.1315903389919538;-0.024324681077860674;1.788888888888889;0.02;0.33065851033365595;0.07246932515337423;0.10984477925735948;0.5625;0.14285714285714285;0.4599483204134367
Proxy2Return;0.2709599027946537;0.2727272727272727;0.88;0.35064935064935066;0.4285714285714286;0.27361963190184047;0.06;2.812104547797966E-5;0.3418817293789138;0.27933349988832507;2.9555555555555557;0.03;0.6125122309314752;0.03248259860788863;0.31937722509289646;0.7857142857142857;0.75;0.8585209003215434
Default2SelectDefault;0.2849846782431052;0.36363636363636365;0.86;0.36363636363636365;0.36363636363636365;0.2849846782431052;0.05194805194805195;3.26482639285656E-5;0.36363636363636365;0.2849846782431052;3.922222222222222;0.04;0.6123040330380837;0.044;0.3350015320192013;0.7543859649122807;1.1428571428571428;0.8221709006928407
SwitchedAddress2SelectCase;-0.010638297872340425;0.09090909090909091;0.81;0.09545454545454546;0.09999999999999998;-0.010643959552953698;0.010050251256281407;1.111086420301771E-6;0.09534625892455924;-0.010653379535009885;0.9;0.01;0.34356614465620006;0.04291845493562232;0.08521795768761463;0.680672268907563;0.05263157894736842;0.4734042553191489
NotPresent2ErrorResponse;-0.0035122930255895636;0.10810810810810811;0.6;0.23587223587223588;0.10810810810810811;-0.004229607250755287;0.012861736334405145;6.925879240369565E-6;0.19827263883864385;-0.004633781564153746;3.6333333333333333;0.04;0.32165022306298513;0.09736842105263158;0.1482711949624954;0.42857142857142855;0.4;0.4951321279554937
Location2URIConstant;0.0;0.0;0.89;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8018018018018018;0.0;0.0
Otherwise2SelectDefault;0.09039226833428084;0.16129032258064516;0.68;0.30791788856304986;0.16129032258064513;0.10198845413726748;0.0211864406779661;1.602374077433125E-5;0.27076518053694115;0.10987537900244249;4.711111111111111;0.05;0.41550631800527815;0.07673267326732673;0.21766259628769313;0.5151515151515151;0.78125;0.6087551299589603
Incoming2Method;-0.06473594548551959;0.0625;0.75;0.07670454545454546;0.0625;-0.0654326302195437;0.006153846153846154;6.66655111311404E-7;0.07537783614444091;-0.06625560317137491;0.8333333333333334;0.01;0.27750520211971036;0.06153846153846154;0.06450641109952844;0.6;0.04;0.35039370078740156
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
EXAM-WC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
EXAM-AVG;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842

OCL31;SrcRedirection.allInstances()->size()=TrgSelectCase.allInstances()->select(sc|sc.commentsBefore=Sequence {'// redirection'})->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.656188605108055;0.6666666666666666;0.93;0.696969696969697;0.6666666666666667;0.6565110565110565;0.2;5.328005328005328E-4;0.6963106238227914;0.6569815258374716;7.955555555555556;0.08;0.8295875442952216;0.041189931350114416;0.6687178204252678;0.8691588785046729;9.142857142857142;0.9417989417989417
SubCall2Return;-0.0971149939049167;0.061224489795918366;0.46;0.16697588126159554;0.061224489795918324;-0.1374353076480736;0.0066815144766146995;2.4455385361169356E-6;0.1292191476761844;-0.15280002559377237;2.488888888888889;0.03;0.21003913504693256;0.14572490706319702;0.08246838152517098;0.2987012987012987;0.16666666666666666;0.3454075032341526
Busy2SelectCase;0.5269631031220435;0.5384615384615384;0.9;0.5874125874125874;0.5384615384615384;0.5279620853080569;0.11864406779661017;2.040654841974188E-4;0.5853694070049635;0.5293373596946629;6.933333333333334;0.07;0.7567143292332911;0.043697478991596636;0.5520929652411966;0.8181818181818182;4.9;0.9042089985486211
SubAction2Function;-0.04068117313150426;0.07692307692307693;0.78;0.08391608391608392;0.07692307692307687;-0.04075829383886256;0.007633587786259542;8.333173614172395E-7;0.08362420100070908;-0.04086446403387882;0.8666666666666667;0.01;0.3076310100058112;0.05254648342764753;0.0731689472006405;0.639344262295082;0.045454545454545456;0.40271493212669685
Redirect2Return;0.02843601895734597;0.125;0.59;0.2897727272727273;0.125;0.03551346552234389;0.016;1.1903458192674136E-5;0.2383656473113981;0.0391430158454744;4.611111111111111;0.05;0.34328209411232624;0.09345794392523364;0.17613208073658954;0.41843971631205673;0.6097560975609756;0.536144578313253
StringSwitch2SelectStat;0.12901469787697334;0.18181818181818182;0.68;0.36363636363636365;0.18181818181818177;0.14858934169278998;0.025974025974025976;2.6662163723460038E-5;0.3149183286488868;0.1610877920210991;5.7;0.06;0.44141198573092266;0.07099827882960413;0.25282947619257845;0.5151515151515151;1.125;0.6425992779783393
NoAnswer2SelectCase;0.4450610432852386;0.45454545454545453;0.9;0.5050505050505051;0.5555555555555556;0.4460511679644049;0.10204081632653061;1.0413412475268145E-4;0.502518907629606;0.447827826678418;4.955555555555556;0.05;0.719223593595585;0.03884892086330935;0.4745774898696752;0.8181818181818182;2.5;0.9100204498977505
CPL2Program;-0.037069726390114736;0.09090909090909091;0.53;0.2272727272727273;0.09090909090909094;-0.04879465582340982;0.0106951871657754;5.713869418085254E-6;0.18181818181818182;-0.05408384860487066;3.5555555555555554;0.04;0.27692307692307694;0.11518324607329843;0.12618752209369732;0.36054421768707484;0.3404255319148936;0.4472361809045226
Outgoing2Method;0.09574468085106383;0.18181818181818182;0.83;0.19090909090909092;0.19999999999999996;0.09579563597658329;0.02247191011235955;5.5552623611531615E-6;0.19069251784911848;0.09588041581508897;1.9111111111111112;0.02;0.46419434695016853;0.0423728813559322;0.17256636431741962;0.7094017094017094;0.23529411764705882;0.6691729323308271
Proxy2Select;0.609375;0.5;0.89;0.75;0.5;0.636734693877551;0.18181818181818182;0.5;0.7071067811865476;0.6619684638946263;10.877777777777778;0.11;0.7855400873013642;0.0;0.6619173953117127;0.8018018018018018;11.0;0.8899999999999999
Failure2ErrorResponse;0.0;0.0;0.89;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8018018018018018;0.0;0.0
AddressSwitch2SelectStat;-0.022644265887509132;0.09523809523809523;0.72;0.13852813852813853;0.09523809523809523;-0.02350265352539803;0.010050251256281407;2.339099212893115E-6;0.1315903389919538;-0.024324681077860674;1.788888888888889;0.02;0.33065851033365595;0.07246932515337423;0.10984477925735948;0.5625;0.14285714285714285;0.4599483204134367
Proxy2Return;0.2709599027946537;0.2727272727272727;0.88;0.35064935064935066;0.4285714285714286;0.27361963190184047;0.06;2.812104547797966E-5;0.3418817293789138;0.27933349988832507;2.9555555555555557;0.03;0.6125122309314752;0.03248259860788863;0.31937722509289646;0.7857142857142857;0.75;0.8585209003215434
Default2SelectDefault;0.2849846782431052;0.36363636363636365;0.86;0.36363636363636365;0.36363636363636365;0.2849846782431052;0.05194805194805195;3.26482639285656E-5;0.36363636363636365;0.2849846782431052;3.922222222222222;0.04;0.6123040330380837;0.044;0.3350015320192013;0.7543859649122807;1.1428571428571428;0.8221709006928407
SwitchedAddress2SelectCase;-0.010638297872340425;0.09090909090909091;0.81;0.09545454545454546;0.09999999999999998;-0.010643959552953698;0.010050251256281407;1.111086420301771E-6;0.09534625892455924;-0.010653379535009885;0.9;0.01;0.34356614465620006;0.04291845493562232;0.08521795768761463;0.680672268907563;0.05263157894736842;0.4734042553191489
NotPresent2ErrorResponse;-0.0035122930255895636;0.10810810810810811;0.6;0.23587223587223588;0.10810810810810811;-0.004229607250755287;0.012861736334405145;6.925879240369565E-6;0.19827263883864385;-0.004633781564153746;3.6333333333333333;0.04;0.32165022306298513;0.09736842105263158;0.1482711949624954;0.42857142857142855;0.4;0.4951321279554937
Location2URIConstant;0.0;0.0;0.89;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8018018018018018;0.0;0.0
Otherwise2SelectDefault;0.09039226833428084;0.16129032258064516;0.68;0.30791788856304986;0.16129032258064513;0.10198845413726748;0.0211864406779661;1.602374077433125E-5;0.27076518053694115;0.10987537900244249;4.711111111111111;0.05;0.41550631800527815;0.07673267326732673;0.21766259628769313;0.5151515151515151;0.78125;0.6087551299589603
Incoming2Method;-0.06473594548551959;0.0625;0.75;0.07670454545454546;0.0625;-0.0654326302195437;0.006153846153846154;6.66655111311404E-7;0.07537783614444091;-0.06625560317137491;0.8333333333333334;0.01;0.27750520211971036;0.06153846153846154;0.06450641109952844;0.6;0.04;0.35039370078740156
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
EXAM-WC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
EXAM-AVG;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL15;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
OCL29;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
OCL31;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL15;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
OCL29;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
OCL31;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL15;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
OCL29;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
OCL31;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.7368421052631579;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
