In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL15;SrcArticle.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] Article ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.journal) and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List') and TrgPara.allInstances()->exists(p | p.content = b.journal and p.section.title = 'Journals List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.23963133640552994;0.3;0.67;0.5029411764705882;0.30000000000000004;0.27289425347677776;0.03550295857988166;1.0281748468447883E-4;0.4601789933084222;0.2825753120721564;11.666666666666666;0.12;0.5331760807266656;0.09302325581395349;0.3586337920424089;0.5037593984962406;4.363636363636363;0.6766304347826088
TitledEntry_Title_NoArticle;-0.0037641154328732747;0.16842105263157894;0.2;0.5547987616099072;0.16842105263157892;-0.015906680805938492;0.022253129346314324;3.234218026722726E-4;0.3981380814347516;-0.018322340399311226;15.05952380952381;0.16;0.23076923076923078;0.27941176470588236;0.0781657711712814;0.1111111111111111;3.2;0.49719206289779105
Article_NoTitle_Journal;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;17.0;0.17;1.0;0.0;0.9999291333002622;1.0;1.0;1.0
Article_Title_Journal;0.06453362255965293;0.19767441860465115;0.31;0.5988372093023255;0.19767441860465118;0.1820267686424474;0.028985507246376812;0.19767441860465115;0.44460591382105025;0.18259976182255006;16.178571428571427;0.17;0.31970943766657783;0.0;0.18258575337083674;0.1834319526627219;4.188405797101449;0.5460526315789473
Author;0.004129220306048093;0.1717171717171717;0.18;0.5858585858585859;0.1717171717171717;0.022516556291390728;0.024390243902439025;0.1717171717171717;0.41438770700537403;0.0454849600082695;16.023809523809526;0.17;0.2048338778925438;0.0;0.045472793371869595;0.0989010989010989;3.524390243902439;0.503030303030303
Article_NoTitle_NoJournal;0.007795889440113395;0.17647058823529413;0.72;0.17647058823529413;0.17647058823529416;0.007795889440113395;0.012605042016806723;4.5916188670639605E-6;0.17647058823529413;0.007795889440113395;2.8333333333333335;0.03;0.38308998402953376;0.08095238095238096;0.14669406845723196;0.5625;0.32142857142857145;0.5112936344969199
UntitledEntry;0.015883977900552487;0.1774193548387097;0.43;0.4122390891840607;0.17741935483870963;0.024422617467480753;0.01775625504439064;3.953282008188848E-5;0.3388226069985336;0.025229386022960154;10.392857142857142;0.11;0.3430278074063066;0.1786743515850144;0.19304906150331677;0.27388535031847133;2.1228070175438596;0.5129213483146068
Main;0.0;0.17;0.17;0.585;0.17000000000000004;0.0;0.024096385542168676;0.17;0.412310562561766;0.0;16.011904761904763;0.17;0.17;0.0;0.0;0.09289617486338798;3.4819277108433737;0.5
TitledEntry_NoTitle_NoArticle;0.02770378263185935;0.18181818181818182;0.27;0.5614973262032086;0.18181818181818177;0.08431293068504256;0.024390243902439025;3.5485373372662956E-4;0.4136701519960153;0.08519966228735704;15.142857142857142;0.16;0.2861787525866723;0.10602409638554217;0.14417223288480327;0.15606936416184972;3.506849315068493;0.5203761755485894
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.6666666666666666;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.1111111111111111
EXAM-WC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.1111111111111111
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2777777777777778;0.1111111111111111;0.8333333333333333;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.1111111111111111

OCL18;SrcArticle.allInstances()->forAll(a | TrgPara.allInstances()->exists(p | p.content = a.journal and p.section.title = 'Journals List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.23963133640552994;0.3;0.67;0.5029411764705882;0.30000000000000004;0.27289425347677776;0.03550295857988166;1.0281748468447883E-4;0.4601789933084222;0.2825753120721564;11.666666666666666;0.12;0.5331760807266656;0.09302325581395349;0.3586337920424089;0.5037593984962406;4.363636363636363;0.6766304347826088
TitledEntry_Title_NoArticle;-0.0037641154328732747;0.16842105263157894;0.2;0.5547987616099072;0.16842105263157892;-0.015906680805938492;0.022253129346314324;3.234218026722726E-4;0.3981380814347516;-0.018322340399311226;15.05952380952381;0.16;0.23076923076923078;0.27941176470588236;0.0781657711712814;0.1111111111111111;3.2;0.49719206289779105
Article_NoTitle_Journal;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;17.0;0.17;1.0;0.0;0.9999291333002622;1.0;1.0;1.0
Article_Title_Journal;0.06453362255965293;0.19767441860465115;0.31;0.5988372093023255;0.19767441860465118;0.1820267686424474;0.028985507246376812;0.19767441860465115;0.44460591382105025;0.18259976182255006;16.178571428571427;0.17;0.31970943766657783;0.0;0.18258575337083674;0.1834319526627219;4.188405797101449;0.5460526315789473
Author;0.004129220306048093;0.1717171717171717;0.18;0.5858585858585859;0.1717171717171717;0.022516556291390728;0.024390243902439025;0.1717171717171717;0.41438770700537403;0.0454849600082695;16.023809523809526;0.17;0.2048338778925438;0.0;0.045472793371869595;0.0989010989010989;3.524390243902439;0.503030303030303
Article_NoTitle_NoJournal;0.007795889440113395;0.17647058823529413;0.72;0.17647058823529413;0.17647058823529416;0.007795889440113395;0.012605042016806723;4.5916188670639605E-6;0.17647058823529413;0.007795889440113395;2.8333333333333335;0.03;0.38308998402953376;0.08095238095238096;0.14669406845723196;0.5625;0.32142857142857145;0.5112936344969199
