what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1489590342017
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1489590342017
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1489590342017
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1489590342018
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1489590342018
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1489590342019
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1489590342019
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1489590342019
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1489590342020
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1489590342020
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1489590342021
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1489590342021
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1489590342021
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1489590342021
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1489590342022
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1489590342022
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1489590342022
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1489590342023
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1489590342023
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1489590342023
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1489590342024
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1489590342024
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1489590342025
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1489590342025
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1489590342025
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1489590342026
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1489590342026
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1489590342027
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1489590342028
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1489590342028
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1489590342029
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1489590342029
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1489590342029
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1489590342030
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1489590342030
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1489590342030
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1489590342030
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1489590342031
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1489590342031
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1489590342031
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1489590342031
started,bundle,org.eclipse.pde,3.7.2.v201202080800,"org.eclipse.pde",1489590342031
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1489590342032
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1489590342032
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1489590342032
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1489590342032
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1489590342033
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1489590342033
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1489590342033
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1489590342034
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1489590342034
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1489590342034
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1489590342034
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1489590342035
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1489590342035
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1489590342035
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1489590342036
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1489590342036
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1489590342036
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1489590342036
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1489590342037
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1489590342037
started,bundle,org.eclipse.m2m.atl.adt.ui,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt.ui",1489590342037
os,sysinfo,,,"win32",1489590342039
arch,sysinfo,,,"x86_64",1489590342039
ws,sysinfo,,,"win32",1489590342039
locale,sysinfo,,,"es_ES",1489590342039
processors,sysinfo,,,"8",1489590342039
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1489590342039
java.runtime.version,sysinfo,,,"1.8.0_111-b14",1489590342039
java.specification.name,sysinfo,,,"Java Platform API Specification",1489590342039
java.specification.vendor,sysinfo,,,"Oracle Corporation",1489590342039
java.specification.version,sysinfo,,,"1.8",1489590342039
java.vendor,sysinfo,,,"Oracle Corporation",1489590342039
java.version,sysinfo,,,"1.8.0_111",1489590342039
java.vm.info,sysinfo,,,"mixed mode",1489590342039
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1489590342039
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1489590342039
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1489590342039
java.vm.specification.version,sysinfo,,,"1.8",1489590342039
java.vm.vendor,sysinfo,,,"Oracle Corporation",1489590342039
java.vm.version,sysinfo,,,"25.111-b14",1489590342039
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1489590342510
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1489590342521
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1489590342541
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1489590342704
started,bundle,org.eclipse.m2m.atl.adt,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt",1489590343256
started,bundle,org.eclipse.m2m.atl.engine,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.engine",1489590343262
started,bundle,org.eclipse.m2m.atl.common,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.common",1489590343264
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1489590343277
started,bundle,org.eclipse.pde.build,3.7.0.v20111116-2009,"org.eclipse.pde.build",1489590343602
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1489590346313
started,bundle,org.eclipse.m2m.atl.core,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.core",1489590347308
started,bundle,org.eclipse.m2m.atl.engine.emfvm,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.engine.emfvm",1489590347310
started,bundle,org.eclipse.m2m.atl.dsls,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.dsls",1489590347465
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489590448373
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1489590448375
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1489590452542
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1489590452545
executed,command,org.eclipse.m2m.atl.adt.ui,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt.ui.registerMetamodel",1489590453988
executed,command,org.eclipse.m2m.atl.adt.ui,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt.ui.registerMetamodel",1489590456612
executed,command,org.eclipse.m2m.atl.adt.ui,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt.ui.registerMetamodel",1489590458505
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1489590459585
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489590460644
closed,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1489590460648
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1489590466817
opened,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1489590466929
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1489590466936
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489590468252
opened,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1489590468505
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1489590468512
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1489590469975
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1489590471998
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489590481119
opened,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1489590481327
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1489590481334
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1489590485294
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1489590486918
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1489590490285
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1489590493031
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1489590504375
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1489590508119
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1489590528931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489590544853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489590545600
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489590545683
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1489590545812
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1489590546372
stopped,bundle,org.eclipse.emf.eef.codegen.ecore,1.0.2.v20120216-1513,"org.eclipse.emf.eef.codegen.ecore",1489590546373
stopped,bundle,org.eclipse.emf.eef.codegen,1.0.2.v20120216-1513,"org.eclipse.emf.eef.codegen",1489590546374
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1489590546374
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1489590546375
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1489590546375
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1489590546376
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1489590546376
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1489590546377
stopped,bundle,org.eclipse.xtext.xtext.ui,2.0.1.v201108020636,"org.eclipse.xtext.xtext.ui",1489590546377
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1489590546379
stopped,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1489590546380
stopped,bundle,org.eclipse.ant.launching,1.0.101.v20120110-1739,"org.eclipse.ant.launching",1489590546381
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1489590546381
stopped,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1489590546381
stopped,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1489590546381
stopped,bundle,org.eclipse.emf.compare.ui,1.2.2.v20120214-0915,"org.eclipse.emf.compare.ui",1489590546382
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1489590546382
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1489590546383
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1489590546385
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1489590546386
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1489590546386
stopped,bundle,org.eclipse.xpand.ui,1.0.1.v201108020519,"org.eclipse.xpand.ui",1489590546387
stopped,bundle,org.eclipse.xtend.check.ui,1.0.1.v201108020519,"org.eclipse.xtend.check.ui",1489590546387
stopped,bundle,org.eclipse.xtend.typesystem.emf.ui,1.0.1.v201108020519,"org.eclipse.xtend.typesystem.emf.ui",1489590546387
stopped,bundle,org.eclipse.xtend.ui,1.0.1.v201108020519,"org.eclipse.xtend.ui",1489590546388
stopped,bundle,org.eclipse.xtend.shared.ui,1.0.1.v201108020519,"org.eclipse.xtend.shared.ui",1489590546388
stopped,bundle,org.eclipse.emf.mwe.ui,1.1.1.v201108020506,"org.eclipse.emf.mwe.ui",1489590546389
stopped,bundle,org.eclipse.xtext.purexbase.ui,2.0.1.v201108020636,"org.eclipse.xtext.purexbase.ui",1489590546389
stopped,bundle,org.eclipse.xtext.purexbase,2.0.1.v201108020636,"org.eclipse.xtext.purexbase",1489590546390
stopped,bundle,org.eclipse.xtext.ui.codetemplates.ui,2.0.1.v201108020636,"org.eclipse.xtext.ui.codetemplates.ui",1489590546391
stopped,bundle,org.eclipse.xtext.ui.codetemplates,2.0.1.v201108020636,"org.eclipse.xtext.ui.codetemplates",1489590546391
stopped,bundle,org.eclipse.xtext.xtend2.ui,2.0.1.v201108020636,"org.eclipse.xtext.xtend2.ui",1489590546392
stopped,bundle,org.eclipse.xtext.xbase.ui,2.0.1.v201108020636,"org.eclipse.xtext.xbase.ui",1489590546392
stopped,bundle,org.eclipse.xtext.xtend2,2.0.1.v201108020636,"org.eclipse.xtext.xtend2",1489590546393
stopped,bundle,org.eclipse.xtext.xbase,2.0.1.v201108020636,"org.eclipse.xtext.xbase",1489590546393
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1489590546395
stopped,bundle,org.eclipse.emf.mwe2.language.ui,2.0.1.v201108020809,"org.eclipse.emf.mwe2.language.ui",1489590546395
stopped,bundle,org.eclipse.ocl.examples.xtext.oclstdlib.ui,3.1.1.v20110826-0707,"org.eclipse.ocl.examples.xtext.oclstdlib.ui",1489590546396
stopped,bundle,org.eclipse.ocl.examples.xtext.console,3.1.0.v20110829-0756,"org.eclipse.ocl.examples.xtext.console",1489590546396
stopped,bundle,org.eclipse.ocl.examples.xtext.completeocl.ui,3.1.0.v20110826-0707,"org.eclipse.ocl.examples.xtext.completeocl.ui",1489590546396
stopped,bundle,org.eclipse.ocl.examples.xtext.oclinecore.ui,3.1.0.v20110829-0756,"org.eclipse.ocl.examples.xtext.oclinecore.ui",1489590546397
stopped,bundle,org.eclipse.ocl.examples.xtext.essentialocl.ui,3.1.0.v20110826-0707,"org.eclipse.ocl.examples.xtext.essentialocl.ui",1489590546398
stopped,bundle,org.eclipse.xtext.common.types.shared,2.0.1.v201108020636,"org.eclipse.xtext.common.types.shared",1489590546398
stopped,bundle,org.eclipse.xtext.ui.ecore,2.0.1.v201108020636,"org.eclipse.xtext.ui.ecore",1489590546399
activated,perspective,org.eclipse.m2m.atl.adt.ui,,"org.eclipse.m2m.atl.adt.ui.atlPerspective",1489591561354
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1489591561354
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1489591561355
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1489591561355
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1489591561356
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1489591561356
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1489591561357
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1489591561357
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1489591561358
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1489591561358
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1489591561359
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1489591561359
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1489591561360
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1489591561360
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1489591561361
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1489591561361
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1489591561361
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1489591561361
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1489591561361
started,bundle,org.eclipse.emf.ecore.edit,2.7.1.v20120130-0943,"org.eclipse.emf.ecore.edit",1489591561361
